idea_diversity,solution_depth,novelty_score,convergence_rate,self_correction,ambiguity_level
0.704,0.395,0.352,0.766,0.585,0.483
0.645,0.558,0.444,0.901,0.613,0.569
0.685,0.786,0.561,0.719,0.678,0.206
0.505,0.372,0.331,0.716,0.557,0.122
0.896,0.62,0.507,0.691,0.647,0.051
0.466,0.559,0.468,0.863,0.502,0.251
0.788,0.552,0.556,0.582,0.441,0.364
0.557,0.671,0.482,0.748,0.784,0.632
0.611,0.679,0.594,0.837,0.467,0.408
0.783,0.469,0.516,0.845,0.477,0.371
0.855,0.699,0.566,0.629,0.614,0.512
0.439,0.598,0.355,0.808,0.628,0.45
0.686,0.569,0.505,0.834,0.68,0.304
0.667,0.472,0.498,0.709,0.585,0.212
0.438,0.67,0.485,0.689,0.694,0.524
0.721,0.467,0.618,0.784,0.47,0.444
0.469,0.454,0.508,0.876,0.382,0.157
0.618,0.637,0.366,0.808,0.697,0.412
0.584,0.68,0.444,0.884,0.594,0.271
0.609,0.734,0.428,0.821,0.552,0.603
0.545,0.466,0.46,0.845,0.676,0.213
0.759,0.759,0.703,0.705,0.557,0.529
0.428,0.522,0.341,0.822,0.511,0.653
0.688,0.604,0.452,0.572,0.564,0.293
0.561,0.526,0.464,0.854,0.632,0.353
0.619,0.718,0.451,0.807,0.627,0.427
0.682,0.397,0.457,0.672,0.595,0.401
0.516,0.41,0.477,0.692,0.409,0.147
0.604,0.733,0.494,0.782,0.708,0.292
0.631,0.646,0.416,0.84,0.735,0.554
0.522,0.735,0.294,0.884,0.67,0.334
0.561,0.672,0.602,0.717,0.63,0.639
0.673,0.546,0.451,0.706,0.456,0.532
0.383,0.633,0.61,0.812,0.789,0.313
0.346,0.594,0.546,0.792,0.536,0.276
0.572,0.467,0.54,0.948,0.561,0.185
0.65,0.567,0.625,0.716,0.68,0.19
0.896,0.561,0.728,0.734,0.5,0.333
0.606,0.869,0.595,0.723,0.664,0.295
0.425,0.298,0.463,0.925,0.435,0.335
0.95,0.12,0.88,0.15,0.1,0.92
0.08,0.05,0.04,0.12,0.06,0.03
0.99,0.98,0.97,0.99,0.96,0.01
0.5,0.48,0.91,0.11,0.88,0.87
0.01,0.02,0.01,0.03,0.02,0.99
