technical_score,communication_score,consistency_score,learning_velocity,collaboration_signal,risk_flag
0.525,0.33,0.59,0.725,0.247,0.216
0.81,0.735,0.773,0.721,0.73,0.242
0.572,0.67,0.499,0.669,0.524,0.139
0.599,0.71,0.576,0.19,0.832,0.247
0.45,0.522,0.607,0.383,0.617,0.233
0.518,0.497,0.581,0.645,0.454,0.05
0.741,0.657,0.716,0.61,0.483,0.304
0.362,0.353,0.529,0.661,0.582,0.222
0.722,0.585,0.72,0.435,0.334,0.15
0.798,0.589,0.756,0.5,0.738,0.051
0.71,0.593,0.662,0.51,0.401,0.417
0.487,0.615,0.602,0.34,0.661,0.116
0.633,0.445,0.59,0.515,0.466,0.247
0.482,0.773,0.677,0.491,0.674,0.252
0.569,0.715,0.719,0.375,0.772,0.044
0.657,0.636,0.705,0.722,0.509,0.38
0.673,0.366,0.691,0.473,0.416,0.208
0.701,0.744,0.697,0.401,0.487,0.143
0.528,0.463,0.679,0.581,0.612,0.319
0.482,0.815,0.596,0.427,0.592,0.13
0.813,0.552,0.657,0.571,0.731,0.144
0.692,0.481,0.502,0.626,0.487,0.241
0.789,0.594,0.636,0.198,0.643,0.123
0.758,0.515,0.711,0.254,0.393,0.232
0.375,0.471,0.536,0.523,0.548,0.375
0.79,0.482,0.716,0.103,0.603,0.113
0.608,0.636,0.667,0.329,0.569,0.19
0.843,0.668,0.639,0.372,0.557,0.194
0.531,0.377,0.545,0.23,0.478,0.051
0.96,0.757,0.873,0.614,0.547,0.543
0.637,0.527,0.645,0.551,0.59,0.103
0.57,0.422,0.59,0.715,0.53,0.375
0.744,0.617,0.722,0.314,0.34,0.09
0.454,0.547,0.473,0.458,0.611,0.182
0.423,0.246,0.46,0.262,0.468,0.277
0.757,0.844,0.767,0.403,0.743,0.197
0.692,0.506,0.607,0.744,0.507,0.466
0.469,0.52,0.555,0.613,0.608,0.225
0.84,0.603,0.781,0.273,0.421,0.167
0.714,0.682,0.604,0.159,0.745,0.228
0.95,0.15,0.3,0.88,0.1,0.85
0.04,0.06,0.05,0.03,0.07,0.02
0.98,0.97,0.99,0.96,0.95,0.01
0.2,0.88,0.25,0.7,0.92,0.78
0.01,0.01,0.01,0.01,0.01,0.99
