expected_value,execution_risk,market_uncertainty,team_confidence,external_pressure,downside_severity
0.754,0.767,0.535,0.581,0.351,0.533
0.441,1.0,0.505,0.456,0.091,0.661
0.586,1.0,0.694,0.578,0.11,0.644
0.644,1.0,0.709,0.216,0.445,0.746
0.401,1.0,0.169,0.432,0.193,0.584
0.821,0.783,0.481,0.567,0.452,0.643
0.482,1.0,0.713,0.533,0.203,0.763
0.566,0.927,0.433,0.252,0.242,0.65
0.625,0.941,0.771,0.385,0.279,0.672
0.62,0.871,0.372,0.522,0.178,0.531
0.733,0.816,0.576,0.546,0.192,0.603
0.403,1.0,0.742,0.329,0.122,0.734
0.544,0.99,0.24,0.493,0.436,0.557
0.869,0.839,0.393,0.32,0.287,0.631
0.475,1.0,0.732,0.207,0.292,0.634
0.552,1.0,0.512,0.427,0.254,0.65
0.651,0.892,0.516,0.451,0.464,0.568
0.683,0.957,0.6,0.522,0.216,0.752
0.597,0.998,0.424,0.428,0.27,0.656
0.726,0.874,0.537,0.408,0.445,0.614
0.65,0.994,0.493,0.568,0.397,0.61
0.437,0.907,0.339,0.365,0.448,0.594
0.459,0.95,0.412,0.346,0.135,0.559
0.672,0.961,0.76,0.636,0.339,0.738
0.557,1.0,0.295,0.247,0.375,0.681
0.747,0.884,0.631,0.461,0.316,0.729
0.517,0.977,0.152,0.443,0.467,0.509
0.777,0.805,0.305,0.477,0.519,0.596
0.83,1.0,0.374,0.404,0.12,0.545
0.411,1.0,0.398,0.4,0.168,0.616
0.356,0.915,0.308,0.298,0.566,0.532
0.713,0.858,0.251,0.588,0.191,0.444
0.553,1.0,0.138,0.211,0.045,0.592
0.559,0.867,0.46,0.469,0.077,0.652
0.298,1.0,0.447,0.267,0.303,0.697
0.61,0.832,0.534,0.495,0.357,0.618
0.531,1.0,0.167,0.485,0.149,0.576
0.561,0.942,0.324,0.355,0.28,0.677
0.85,0.82,0.78,0.2,0.9,0.88
0.06,0.04,0.05,0.07,0.03,0.04
0.99,0.01,0.02,0.98,0.01,0.01
0.15,0.91,0.88,0.12,0.85,0.93
0.5,0.5,0.5,0.5,0.5,0.5
